               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070884,            0.017577,            0.038372,             0.58868,              0.5608,             0.58125,             0.29061,            0.047603,           0.0092845,            0.023215,            0.076791,           0.0099468,           0.0099468
                   1,            0.051222,            0.011168,            0.014698,             0.70367,             0.76952,             0.76497,              0.4022,            0.043035,           0.0077951,           0.0099464,            0.052799,            0.019289,            0.019289
                   2,            0.048554,            0.011528,            0.011994,                0.66,             0.28739,             0.30602,             0.16264,            0.065657,            0.015393,            0.027856,            0.028148,             0.02797,             0.02797
                   3,            0.043541,            0.011923,            0.011111,             0.83548,             0.77477,             0.84918,             0.53643,            0.034128,           0.0072428,           0.0066222,             0.02703,             0.02703,             0.02703
                   4,            0.036785,             0.01046,           0.0081381,             0.93498,             0.85677,             0.92393,             0.60874,            0.029498,           0.0066268,           0.0045896,             0.02703,             0.02703,             0.02703
                   5,            0.033299,           0.0099661,           0.0071687,             0.93814,             0.90132,             0.95103,             0.65702,            0.024619,           0.0059649,           0.0039485,             0.02604,             0.02604,             0.02604
                   6,            0.030828,           0.0094641,           0.0063442,             0.94899,             0.86783,             0.94228,             0.64455,            0.024998,           0.0059898,           0.0047096,             0.02505,             0.02505,             0.02505
                   7,            0.029062,           0.0090416,           0.0052988,              0.9597,             0.92438,             0.96369,             0.68971,            0.023157,           0.0054886,           0.0029147,             0.02406,             0.02406,             0.02406
                   8,             0.02802,           0.0086828,           0.0049066,             0.95862,             0.89847,             0.94983,               0.689,            0.022212,           0.0055298,           0.0033994,             0.02307,             0.02307,             0.02307
                   9,            0.026714,           0.0084229,           0.0048312,             0.96732,             0.93962,             0.97036,             0.70233,            0.021809,            0.005035,           0.0020577,             0.02208,             0.02208,             0.02208
                  10,            0.025844,           0.0082711,           0.0046053,             0.96373,             0.92855,             0.96795,             0.70748,            0.021046,           0.0051124,           0.0023201,             0.02109,             0.02109,             0.02109
                  11,            0.024954,           0.0079125,           0.0041066,             0.97531,             0.95051,             0.98128,             0.71591,            0.020756,           0.0047879,           0.0015636,              0.0201,              0.0201,              0.0201
                  12,            0.024497,           0.0078325,            0.004041,             0.97658,             0.94313,             0.97514,             0.73023,              0.0197,           0.0047704,           0.0014955,             0.01911,             0.01911,             0.01911
                  13,            0.023516,           0.0077155,           0.0035945,             0.96175,             0.91726,              0.9674,             0.72712,            0.019854,            0.004929,             0.00295,             0.01812,             0.01812,             0.01812
                  14,            0.022726,           0.0074719,           0.0037326,             0.97306,             0.94549,              0.9786,             0.73292,            0.019185,           0.0045457,           0.0016703,             0.01713,             0.01713,             0.01713
                  15,            0.022198,           0.0073509,           0.0029699,             0.98508,             0.96292,             0.98338,             0.75523,            0.018151,            0.004412,           0.0010832,             0.01614,             0.01614,             0.01614
                  16,            0.021424,           0.0071609,           0.0028286,             0.97809,             0.96715,             0.98582,             0.76157,            0.017593,           0.0043451,           0.0012332,             0.01515,             0.01515,             0.01515
                  17,            0.021167,           0.0071556,           0.0030251,             0.98094,             0.95862,             0.98272,             0.75191,            0.018128,           0.0043777,           0.0012531,             0.01416,             0.01416,             0.01416
                  18,            0.020543,           0.0069921,           0.0029131,             0.98153,             0.96396,             0.98303,              0.7621,            0.017513,           0.0042787,           0.0010361,             0.01317,             0.01317,             0.01317
                  19,            0.020063,            0.006826,           0.0025151,             0.98736,             0.95944,             0.98246,             0.76814,            0.017298,           0.0042709,           0.0010251,             0.01218,             0.01218,             0.01218
                  20,            0.019607,           0.0067279,           0.0023773,             0.97942,             0.97462,             0.98532,             0.77162,            0.016698,           0.0041377,          0.00084706,             0.01119,             0.01119,             0.01119
                  21,            0.019354,           0.0065686,           0.0024093,             0.98462,             0.96595,             0.98583,             0.77072,            0.016796,           0.0041074,           0.0008403,              0.0102,              0.0102,              0.0102
                  22,            0.018695,            0.006628,            0.002099,             0.98038,             0.96411,             0.98319,             0.78009,            0.016441,           0.0041296,          0.00092784,             0.00921,             0.00921,             0.00921
                  23,            0.018292,           0.0065129,           0.0020119,             0.98347,             0.97275,             0.98599,             0.78424,            0.016225,           0.0040891,          0.00069096,             0.00822,             0.00822,             0.00822
                  24,            0.017919,           0.0063368,           0.0019492,             0.98335,             0.97086,             0.98499,             0.78439,            0.015937,            0.003975,          0.00070922,             0.00723,             0.00723,             0.00723
                  25,              0.0176,           0.0062067,           0.0019273,             0.97893,             0.97435,             0.98459,             0.78535,            0.016037,           0.0040391,          0.00086901,             0.00624,             0.00624,             0.00624
                  26,            0.017237,           0.0061324,           0.0016162,             0.98663,             0.96822,             0.98685,             0.78648,             0.01562,           0.0039002,          0.00064217,             0.00525,             0.00525,             0.00525
                  27,            0.016984,            0.006099,           0.0015856,             0.98274,             0.97269,             0.98579,             0.78837,            0.015649,           0.0038923,          0.00053264,             0.00426,             0.00426,             0.00426
                  28,            0.016398,           0.0059239,           0.0014214,             0.98515,             0.97296,             0.98613,             0.79161,            0.015469,           0.0038561,          0.00049819,             0.00327,             0.00327,             0.00327
                  29,            0.016225,           0.0058206,           0.0014182,               0.979,             0.98027,             0.98733,             0.79651,            0.015246,           0.0038299,          0.00048999,             0.00228,             0.00228,             0.00228
