               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07655,            0.019442,            0.043749,             0.38468,             0.56344,             0.41433,             0.16684,            0.043828,            0.010608,            0.034217,             0.07016,           0.0033156,           0.0033156
                   1,            0.048086,             0.01315,            0.028054,             0.78373,             0.78919,             0.83624,             0.38817,            0.039189,           0.0076822,            0.016065,             0.03994,           0.0064295,           0.0064295
                   2,            0.045927,            0.010896,            0.013822,             0.70462,             0.78663,             0.81505,             0.42466,            0.041781,           0.0066815,           0.0077632,           0.0095007,           0.0093234,           0.0093234
                   3,            0.038862,           0.0099278,           0.0086082,             0.89337,             0.89555,             0.94834,             0.61024,            0.030029,           0.0058922,           0.0045655,             0.00901,             0.00901,             0.00901
                   4,            0.033827,           0.0091184,           0.0069981,             0.94543,             0.92173,             0.95383,             0.65626,             0.02714,           0.0057063,           0.0041021,             0.00901,             0.00901,             0.00901
                   5,            0.031395,           0.0088909,           0.0062942,              0.9476,             0.89682,              0.9438,             0.62375,            0.027073,           0.0059643,           0.0046611,             0.00868,             0.00868,             0.00868
                   6,             0.02906,           0.0084591,           0.0055854,             0.96779,             0.91288,             0.96842,             0.67994,            0.022405,           0.0053849,           0.0034512,             0.00835,             0.00835,             0.00835
                   7,            0.027736,           0.0083288,           0.0050602,             0.94384,             0.91713,             0.96204,             0.68539,            0.023082,           0.0054176,           0.0035649,             0.00802,             0.00802,             0.00802
                   8,            0.026769,           0.0080582,           0.0048408,             0.97184,             0.92523,             0.97288,             0.70948,            0.021673,            0.005015,           0.0026992,             0.00769,             0.00769,             0.00769
                   9,            0.025419,            0.007709,           0.0043184,             0.96935,             0.95481,             0.98033,             0.71648,            0.020679,           0.0047962,           0.0020529,             0.00736,             0.00736,             0.00736
                  10,             0.02437,           0.0075339,           0.0038411,              0.9677,             0.94447,             0.97595,             0.71657,            0.020088,           0.0048797,            0.002279,             0.00703,             0.00703,             0.00703
                  11,            0.023459,           0.0073043,           0.0037821,             0.97718,             0.96354,             0.98271,             0.73942,            0.018992,            0.004464,           0.0017847,              0.0067,              0.0067,              0.0067
                  12,            0.022794,            0.007202,           0.0034173,             0.95918,             0.95332,             0.98189,             0.74383,            0.018974,           0.0044982,           0.0020026,             0.00637,             0.00637,             0.00637
                  13,            0.021839,           0.0070482,           0.0032474,             0.96931,             0.96214,             0.98131,             0.74893,            0.018396,            0.004382,           0.0016944,             0.00604,             0.00604,             0.00604
                  14,            0.021266,           0.0068162,           0.0030331,             0.98133,             0.95876,             0.98423,             0.76044,            0.017643,            0.004323,           0.0016904,             0.00571,             0.00571,             0.00571
                  15,            0.020845,           0.0067934,           0.0026182,             0.98227,             0.97474,             0.98729,             0.76423,            0.017366,           0.0041677,           0.0012259,             0.00538,             0.00538,             0.00538
                  16,             0.02014,           0.0066926,           0.0026521,             0.98537,             0.96199,              0.9829,             0.77219,            0.016866,            0.004238,           0.0012567,             0.00505,             0.00505,             0.00505
                  17,            0.019753,           0.0066197,           0.0025437,             0.97816,             0.96423,             0.98362,             0.76065,            0.017311,           0.0042696,           0.0016987,             0.00472,             0.00472,             0.00472
                  18,            0.019245,           0.0064969,           0.0024398,              0.9873,             0.97061,              0.9875,             0.77539,            0.016714,            0.004069,          0.00092221,             0.00439,             0.00439,             0.00439
                  19,            0.018774,           0.0064066,           0.0022734,              0.9821,             0.96473,             0.98484,             0.78122,            0.015928,           0.0039927,          0.00099775,             0.00406,             0.00406,             0.00406
                  20,            0.018237,           0.0062692,           0.0020893,             0.98364,             0.97817,             0.98736,             0.78573,            0.015801,           0.0039058,            0.000861,             0.00373,             0.00373,             0.00373
                  21,            0.017938,           0.0060752,             0.00209,             0.98858,             0.95751,             0.98645,             0.78439,            0.015791,           0.0039089,            0.001205,              0.0034,              0.0034,              0.0034
                  22,            0.017399,           0.0061427,           0.0018371,              0.9848,             0.97401,             0.98817,             0.78585,             0.01569,           0.0039057,          0.00064903,             0.00307,             0.00307,             0.00307
                  23,            0.016993,            0.006002,           0.0015701,             0.99161,               0.968,             0.98743,             0.79034,            0.015304,           0.0038873,           0.0006145,             0.00274,             0.00274,             0.00274
                  24,            0.016687,           0.0058414,           0.0015323,             0.97983,             0.97442,              0.9859,             0.79464,            0.015317,           0.0038112,          0.00071556,             0.00241,             0.00241,             0.00241
                  25,            0.016415,           0.0057803,           0.0014904,             0.98958,             0.96897,             0.98683,             0.79713,            0.015091,           0.0037777,          0.00062575,             0.00208,             0.00208,             0.00208
                  26,            0.016181,           0.0057679,           0.0014497,             0.99118,             0.97387,             0.98875,              0.7987,            0.014991,           0.0037173,          0.00044456,             0.00175,             0.00175,             0.00175
                  27,            0.015976,           0.0057484,           0.0013643,             0.98426,             0.97765,             0.98871,             0.79965,            0.014917,           0.0036935,          0.00038974,             0.00142,             0.00142,             0.00142
                  28,             0.01545,           0.0055952,           0.0012214,             0.99357,             0.96924,              0.9883,             0.80205,            0.014774,           0.0037101,          0.00041245,             0.00109,             0.00109,             0.00109
                  29,            0.015334,           0.0055111,           0.0012273,             0.98207,             0.98097,             0.99005,             0.80349,            0.014536,           0.0036761,          0.00036919,             0.00076,             0.00076,             0.00076
