               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084437,            0.020625,            0.045337,             0.38763,                0.35,             0.19847,            0.077322,            0.062194,            0.011901,            0.039321,            0.070319,           0.0032979,           0.0032979
                   1,            0.052996,            0.015635,            0.034062,             0.53168,             0.59977,             0.61608,             0.24341,            0.051224,            0.008277,            0.023355,              0.0401,           0.0064124,           0.0064124
                   2,            0.047058,            0.011573,            0.017498,             0.78321,             0.77942,             0.86229,             0.43829,            0.039137,            0.006961,            0.010454,           0.0096615,           0.0093069,           0.0093069
                   3,            0.038561,           0.0098104,           0.0084694,             0.93162,             0.85386,             0.93479,             0.56714,            0.031169,            0.006338,           0.0067013,             0.00901,             0.00901,             0.00901
                   4,            0.034136,           0.0091673,           0.0071115,             0.93855,             0.90375,             0.94824,             0.61546,            0.027032,           0.0061049,           0.0042214,             0.00901,             0.00901,             0.00901
                   5,            0.031171,             0.00879,           0.0062491,             0.88745,             0.83603,             0.90382,             0.61005,            0.027715,           0.0066425,           0.0068287,             0.00868,             0.00868,             0.00868
                   6,            0.029148,           0.0084372,           0.0055197,             0.95218,             0.91451,             0.95961,               0.678,            0.023344,           0.0054589,           0.0033174,             0.00835,             0.00835,             0.00835
                   7,            0.027734,           0.0081916,           0.0049655,             0.93356,             0.89128,             0.94882,             0.66314,            0.023994,           0.0056783,           0.0060876,             0.00802,             0.00802,             0.00802
                   8,            0.026144,           0.0078731,           0.0046381,             0.96411,             0.93457,             0.97317,             0.71417,            0.021176,           0.0048279,           0.0025187,             0.00769,             0.00769,             0.00769
                   9,            0.025474,            0.007745,           0.0042627,              0.9811,             0.94105,             0.97755,             0.71268,            0.020618,           0.0048389,           0.0021674,             0.00736,             0.00736,             0.00736
                  10,            0.024283,           0.0075169,           0.0041598,             0.97163,              0.9513,             0.97583,              0.7279,            0.019996,           0.0047601,           0.0023265,             0.00703,             0.00703,             0.00703
                  11,            0.023329,           0.0073992,           0.0037434,             0.97317,             0.95249,             0.98129,             0.73793,            0.019511,           0.0045905,           0.0016963,              0.0067,              0.0067,              0.0067
                  12,            0.022816,            0.007196,           0.0036048,             0.97764,             0.95335,             0.98112,             0.73868,            0.018758,           0.0045333,           0.0019588,             0.00637,             0.00637,             0.00637
                  13,            0.022094,           0.0071042,           0.0032472,             0.98042,             0.96017,             0.98362,             0.74678,            0.018499,           0.0044674,           0.0018041,             0.00604,             0.00604,             0.00604
                  14,            0.021087,           0.0068133,           0.0028773,             0.98451,             0.95011,             0.98138,             0.75281,             0.01763,           0.0043495,           0.0016519,             0.00571,             0.00571,             0.00571
                  15,            0.020736,           0.0067963,           0.0028901,             0.98072,             0.96452,             0.98562,             0.76022,            0.017887,           0.0043524,            0.001293,             0.00538,             0.00538,             0.00538
                  16,            0.020175,           0.0066531,           0.0026098,             0.98687,              0.9633,             0.98682,             0.76938,            0.017129,           0.0042045,           0.0011622,             0.00505,             0.00505,             0.00505
                  17,            0.019857,           0.0065876,           0.0022714,             0.98416,             0.96431,             0.98644,             0.76197,            0.017767,           0.0043181,           0.0014324,             0.00472,             0.00472,             0.00472
                  18,            0.019143,            0.006544,           0.0023992,             0.98277,             0.96655,             0.98605,             0.77745,            0.016786,           0.0040712,           0.0012667,             0.00439,             0.00439,             0.00439
                  19,            0.018629,           0.0063006,           0.0022997,             0.98412,             0.96738,             0.98479,             0.77646,            0.016882,           0.0040517,           0.0013363,             0.00406,             0.00406,             0.00406
                  20,            0.018191,           0.0062216,           0.0020028,              0.9772,             0.97179,             0.98395,             0.77998,            0.016313,           0.0039976,            0.001028,             0.00373,             0.00373,             0.00373
                  21,              0.0178,           0.0060776,           0.0021165,             0.97819,             0.97267,             0.98687,             0.78218,            0.016148,           0.0039281,           0.0011566,              0.0034,              0.0034,              0.0034
                  22,             0.01745,            0.006118,           0.0017216,             0.98207,             0.97208,             0.98667,             0.78848,            0.015972,           0.0039605,          0.00084587,             0.00307,             0.00307,             0.00307
                  23,            0.016982,           0.0059293,           0.0016841,              0.9826,              0.9779,             0.98691,             0.78698,            0.015646,           0.0038451,          0.00079936,             0.00274,             0.00274,             0.00274
                  24,            0.016674,           0.0058371,           0.0014997,             0.99025,             0.96979,             0.98771,             0.79402,            0.015245,           0.0038083,          0.00095796,             0.00241,             0.00241,             0.00241
                  25,            0.016344,           0.0057454,           0.0014386,             0.98701,              0.9711,             0.98615,             0.79506,            0.015488,           0.0038117,          0.00093125,             0.00208,             0.00208,             0.00208
                  26,            0.016162,           0.0057089,           0.0013551,             0.99018,             0.97575,             0.98814,             0.79667,            0.015317,           0.0037835,          0.00061935,             0.00175,             0.00175,             0.00175
                  27,            0.015975,           0.0057399,           0.0013916,             0.98908,              0.9785,             0.98777,             0.79295,            0.015223,           0.0037282,          0.00048212,             0.00142,             0.00142,             0.00142
                  28,            0.015377,           0.0055566,           0.0012503,             0.98748,             0.97512,             0.98742,             0.79875,            0.014973,           0.0037185,          0.00050026,             0.00109,             0.00109,             0.00109
                  29,            0.015167,           0.0054904,           0.0013011,             0.99234,             0.97502,             0.98887,             0.80288,             0.01489,           0.0037403,          0.00044897,             0.00076,             0.00076,             0.00076
